Date,Avg-Dis,Flood event Runoff mm,Daily Runoff,Avg Weekly runoff,Flood magnitude(0-10) mm,rain,tmin,tmax
1/1/1998,0,0,0,,0,0,20.71,30.6
1/2/1998,0,0,0,,0,0,20.58,30.57
1/3/1998,0,0,0,,0,2.0198,21.45,29.87
1/4/1998,893,0,0.3,,0,0,21.55,29.77
1/5/1998,817,0,0.27,,0,0,19.43,29.75
1/6/1998,1069,0,0.36,,0,0,17.88,29.23
1/7/1998,1322,0,0.44,1.37,0,0,18.5,29.31
1/8/1998,1028,0,0.34,1.71,0,0,18.17,29.25
1/9/1998,1187,0,0.4,2.1,0,0,18.51,28.92
1/10/1998,1338,0,0.45,2.55,0,0,18.88,29.58
1/11/1998,882,0,0.29,2.55,0,0,18.76,29.46
1/12/1998,498,0,0.17,2.44,0,0,19.62,29.68
1/13/1998,142,0,0.05,2.13,0,0,19.31,30.14
1/14/1998,0,0,0,1.69,0,0,19.57,30.84
1/15/1998,0,0,0,1.35,0,0,20.15,30.66
1/16/1998,143,0,0.05,1,0,0,20.4,31.4
1/17/1998,143,0,0.05,0.6,0,0,20.95,31.86
1/18/1998,713,0,0.24,0.55,0,0,19.9,31.52
1/19/1998,1419,0,0.47,0.85,0,0,19.66,31.11
1/20/1998,1184,0,0.39,1.2,0,0,21.28,30.63
1/21/1998,1596,0,0.53,1.73,0,0,22.38,29.98
1/22/1998,1857,0,0.62,2.35,0,0,21.63,31.8
1/23/1998,1594,0,0.53,2.83,0,0,22.47,31.61
1/24/1998,1501,0,0.5,3.28,0,0,22.52,30.27
1/25/1998,1298,0,0.43,3.48,0,0,21.96,30.84
1/26/1998,1148,0,0.38,3.39,0,0,21.22,30.9
1/27/1998,1152,0,0.38,3.38,0,0,20.89,30.98
1/28/1998,1072,0,0.36,3.2,0,0,21.43,31
1/29/1998,877,0,0.29,2.88,0,0,21.18,31.02
1/30/1998,773,0,0.26,2.6,0,0,21.14,31.43
1/31/1998,444,0,0.15,2.25,0,0,21.36,30.9
2/1/1998,72,0,0.02,1.84,0,0,21.27,31.57
2/2/1998,0,0,0,1.46,0,0,22.25,31.47
2/3/1998,0,0,0,1.08,0,0,21.73,31.74
2/4/1998,0,0,0,0.72,0,1.643,22.52,31.89
2/5/1998,0,0,0,0.43,0,0,22.09,31.95
2/6/1998,0,0,0,0.17,0,0,21.87,31.36
2/7/1998,0,0,0,0.02,0,2.1833,22.34,31.19
2/8/1998,0,0,0,0,0,0,21.82,32.18
2/9/1998,0,0,0,0,0,0,20.85,30
2/10/1998,0,0,0,0,0,0,20.28,30.98
2/11/1998,0,0,0,0,0,0,19.77,30.9
2/12/1998,0,0,0,0,0,0,19.24,30.84
2/13/1998,0,0,0,0,0,0,19.47,30.96
2/14/1998,0,0,0,0,0,0,19.4,30.88
2/15/1998,80,0,0.03,0.03,0,0,19.28,31.45
2/16/1998,0,0,0,0.03,0,0,19.71,31.48
2/17/1998,0,0,0,0.03,0,0,21.15,32.37
2/18/1998,0,0,0,0.03,0,0,21.23,32.44
2/19/1998,0,0,0,0.03,0,0,22.76,33.28
2/20/1998,0,0,0,0.03,0,0,23.32,33.78
2/21/1998,0,0,0,0.03,0,0,24.52,34.01
2/22/1998,0,0,0,0,0,0,24.54,34.45
2/23/1998,153,0,0.05,0.05,0,0,24.83,34.1
2/24/1998,6,0,0,0.05,0,0,22.86,33.59
2/25/1998,356,0,0.12,0.17,0,0,22.92,33.48
2/26/1998,0,0,0,0.17,0,0,23.49,33.52
2/27/1998,0,0,0,0.17,0,0,23.88,34.13
2/28/1998,0,0,0,0.17,0,0,23.96,34.09
3/1/1998,294,0,0.1,0.27,0,0,24.06,34.01
3/2/1998,523,0,0.17,0.39,0,0,23.24,33.64
3/3/1998,523,0,0.17,0.56,0,0,22.94,33.57
3/4/1998,594,0,0.2,0.64,0,0,23.38,33.05
3/5/1998,1124,0,0.37,1.02,0,0.1481,23.54,33.76
3/6/1998,1864,0,0.62,1.64,0,0,22.9,33.61
3/7/1998,2046,0,0.68,2.32,0,0,22.35,32.87
3/8/1998,2083,0,0.69,2.92,0,0,24.81,33.62
3/9/1998,1549,0,0.52,3.26,0,0,25.62,34.63
3/10/1998,1705,0,0.57,3.65,0,0.3242,25.19,34.57
3/11/1998,1390,0,0.46,3.92,0,0,24.66,35.02
3/12/1998,959,0,0.32,3.86,0,0,25.05,34.98
3/13/1998,775,0,0.26,3.5,0,0,24.92,34.63
3/14/1998,446,0,0.15,2.97,0,0,24.98,35.75
3/15/1998,328,0,0.11,2.38,0,0,24.25,34.3
3/16/1998,600,0,0.2,2.07,0,0,24.11,34.13
3/17/1998,856,0,0.28,1.78,0,0,21.98,33.24
3/18/1998,959,0,0.32,1.64,0,0,21.76,34.1
3/19/1998,1781,0,0.59,1.91,0,0,23.33,34.26
3/20/1998,1761,0,0.59,2.24,0,0,23.4,34.71
3/21/1998,1761,0,0.59,2.68,0,0,23.35,34.65
3/22/1998,1739,0,0.58,3.15,0,0,24.01,35.51
3/23/1998,1739,0,0.58,3.53,0,0,24.92,36.33
3/24/1998,1094,0,0.36,3.61,0,0,25,36.23
3/25/1998,1064,0,0.35,3.64,0,0,26.24,35.61
3/26/1998,191,0,0.06,3.11,0,0,25.3,35.26
3/27/1998,428,0,0.14,2.67,0,0,25.32,35.28
3/28/1998,428,0,0.14,2.23,0,0,24.24,34.8
3/29/1998,0,0,0,1.65,0,0,24.85,34.93
3/30/1998,0,0,0,1.07,0,0,25.32,34.65
3/31/1998,0,0,0,0.7,0,0,25.44,34.96
4/1/1998,628,0,0.21,0.56,0,8.0407,24.86,34.8
4/2/1998,500,0,0.17,0.66,0,0.9974,24.76,35.28
4/3/1998,206,0,0.07,0.59,0,0,25.22,35.19
4/4/1998,0,0,0,0.44,0,0,25.44,35.5
4/5/1998,137,0,0.05,0.49,0,0,25.45,35.45
